bike,car,walk,search,age,thoughtBike,thoughtCar,thoughtWalk
28,416,56,241,52.0781,26,169,46
28,416,56,254,52.0981,26,181,47
28,416,56,249,52.1181,24,175,50
28,416,56,248,52.1381,25,177,46
28,416,56,256,52.1581,25,184,47
28,416,56,258,52.1781,26,187,45
28,416,56,266,52.1981,26,189,51
28,416,56,253,52.2181,27,177,49
28,416,56,259,52.2381,24,186,49
28,416,56,240,52.2581,23,172,45
28,416,56,249,52.2781,24,179,46
28,416,56,235,52.2981,25,161,49
28,416,56,254,52.3181,27,184,43
28,416,56,272,52.3381,25,200,47
28,416,56,251,52.3581,23,180,48
28,416,56,258,52.3781,26,187,45
28,416,56,242,52.3981,23,173,46
28,416,56,252,52.4181,24,181,47
28,416,56,244,52.4381,22,173,49
28,416,56,251,52.4581,24,183,44
28,416,56,240,52.4781,27,165,48
28,416,56,256,52.4981,25,182,49
28,416,56,253,52.5181,27,181,45
28,416,56,248,52.5381,26,174,48
28,416,56,261,52.5581,23,194,44
28,416,56,263,52.5781,27,183,53
28,416,56,259,52.5981,26,188,45
28,416,56,263,52.6181,27,194,42
28,416,56,257,52.6381,26,183,48
28,416,56,256,52.6581,27,182,47
28,416,56,234,52.6781,21,166,47
28,416,56,250,52.6981,24,181,45
28,416,56,247,52.7181,25,172,50
28,416,56,258,52.7381,27,185,46
28,416,56,242,52.7581,20,174,48
28,416,56,242,52.7781,23,173,46
28,416,56,255,52.7981,24,180,51
28,416,56,273,52.8181,28,194,51
28,416,56,255,52.8381,26,179,50
28,416,56,251,52.8581,24,179,48
28,416,56,256,52.8781,25,183,48
28,416,56,233,52.8981,25,158,50
28,416,56,235,52.9181,24,162,49
28,416,56,243,52.9381,23,171,49
28,416,56,242,52.9581,22,174,46
28,416,56,244,52.9781,27,170,47
28,416,56,257,52.9981,25,184,48
28,416,56,258,53.0181,25,186,47
28,416,56,248,53.0381,26,173,49
28,416,56,262,53.0581,26,192,44
28,416,56,231,53.0781,26,158,47
28,416,56,233,53.0981,24,161,48
28,416,56,244,53.1181,25,168,51
28,416,56,247,53.1381,24,178,45
